,S1,S2,S3,S4,S5,S6,S7,S8
cell_529,0,5,2,2,2,NA,2,2
cell_530,0,5,2,NA,2,2,2,2
cell_531,0,NA,2,2,2,2,2,2
cell_532,20,0,2,2,2,2,2,2
cell_533,0,0,2,2,2,2,NA,2
cell_534,0,3,2,2,NA,2,2,NA
cell_535,NA,0,2,NA,2,2,2,2
cell_536,0,0,2,2,2,2,NA,NA
cell_537,5,14,NA,2,2,NA,2,NA
cell_538,5,14,0,2,2,NA,2,NA
cell_539,0,0,4,2,NA,NA,2,0
cell_540,0,NA,0,2,2,2,NA,0
cell_541,0,NA,0,2,2,2,2,2
cell_542,4,NA,0,NA,2,NA,2,0
cell_543,8,NA,2,2,2,NA,NA,2
cell_544,8,NA,NA,2,2,2,NA,2
cell_545,NA,0,NA,NA,NA,NA,2,0
cell_546,0,NA,6,2,8,2,2,0
cell_547,8,2,6,2,8,2,2,0
cell_548,5,NA,6,2,NA,2,NA,0
cell_549,0,0,6,2,8,2,2,3
cell_550,0,0,NA,NA,8,2,2,3
cell_551,0,NA,NA,2,8,2,2,3
cell_552,NA,NA,6,2,8,2,NA,NA
cell_553,11,2,6,2,5,2,2,5
cell_554,NA,2,6,2,5,2,2,5
cell_555,11,0,6,2,5,2,2,2
cell_556,11,0,NA,2,5,2,2,2
cell_557,NA,0,6,2,5,NA,2,0
cell_558,4,NA,NA,2,5,NA,2,0
cell_559,0,0,NA,2,NA,NA,2,0
cell_560,0,0,6,2,5,NA,2,0
cell_561,3,2,NA,2,0,2,2,NA
cell_562,3,2,NA,2,0,2,2,2
cell_563,NA,2,6,2,0,2,2,NA
cell_564,2,2,6,2,0,2,2,2
cell_565,NA,2,6,2,0,NA,2,0
cell_566,29,NA,6,2,NA,2,2,0
cell_567,NA,2,6,2,2,2,2,5
cell_568,0,2,6,2,2,NA,2,5
cell_569,2,2,6,2,2,2,NA,0
cell_570,2,NA,6,2,NA,2,2,NA
cell_571,2,2,6,2,NA,2,2,0
cell_572,2,NA,6,2,0,NA,NA,2
cell_573,2,2,NA,2,0,2,2,0
cell_574,2,2,6,2,2,NA,NA,0
cell_575,2,2,6,2,NA,NA,2,2
cell_576,NA,2,NA,2,NA,2,2,0
cell_577,0,0,2,2,2,2,2,5
cell_578,2,NA,2,2,NA,2,2,0
cell_579,0,0,2,2,2,NA,2,NA
cell_580,0,0,2,2,2,2,2,19
cell_581,NA,3,2,2,2,NA,2,16
cell_582,0,0,2,2,2,2,2,NA
cell_583,2,0,2,NA,2,2,2,10
cell_584,2,NA,NA,2,2,2,2,NA
cell_585,2,2,NA,2,2,2,NA,8
cell_586,0,2,0,2,2,2,NA,8
cell_587,0,0,0,2,NA,2,2,NA
cell_588,0,0,0,2,2,NA,NA,8
cell_589,5,0,0,2,2,2,2,8
cell_590,5,0,0,2,2,NA,2,NA
cell_591,27,0,NA,NA,2,NA,2,8
cell_592,0,0,NA,2,2,2,NA,8
cell_593,NA,2,0,2,2,2,2,12
cell_594,0,NA,0,NA,2,2,2,0
cell_595,5,0,NA,2,2,2,2,0
