,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_296,3,2,5,0,NA,2,3,NA,3,NA,2,2
cell_297,3,2,3,NA,2,2,3,2,NA,NA,2,2
cell_298,NA,2,3,0,2,2,3,NA,NA,NA,NA,2
cell_299,3,2,3,0,2,NA,3,NA,3,2,2,2
cell_300,NA,NA,3,0,2,NA,3,2,3,2,2,NA
cell_301,3,2,3,NA,2,NA,NA,0,3,NA,2,NA
cell_302,3,2,3,NA,2,2,3,0,3,2,2,2
cell_303,NA,NA,3,2,2,2,3,0,3,2,NA,2
cell_304,3,NA,NA,NA,2,2,3,NA,NA,2,2,NA
cell_305,3,NA,0,NA,2,NA,2,NA,3,2,NA,2
cell_306,3,2,NA,0,2,NA,0,3,3,NA,2,2
cell_307,3,0,0,0,NA,2,NA,2,3,2,NA,NA
cell_308,NA,0,NA,0,2,2,0,5,3,NA,2,NA
cell_309,3,0,0,2,2,0,3,2,NA,2,2,2
cell_310,NA,0,NA,0,2,0,3,NA,3,NA,2,2
cell_311,3,NA,NA,2,NA,NA,3,0,3,NA,2,2
cell_312,3,NA,0,2,2,5,3,0,3,NA,NA,2
cell_313,NA,NA,0,2,2,2,NA,NA,3,2,2,2
cell_314,3,0,2,2,2,2,NA,8,NA,2,NA,NA
cell_315,3,NA,0,NA,2,2,10,NA,NA,NA,2,2
cell_316,3,3,NA,2,2,2,10,NA,3,NA,2,2
cell_317,3,5,0,2,NA,0,0,0,NA,NA,2,2
cell_318,3,0,0,2,2,2,0,NA,NA,3,2,2
cell_319,NA,0,6,2,2,0,NA,NA,3,NA,2,2
cell_320,3,0,NA,2,NA,NA,NA,0,3,NA,2,2
cell_321,2,NA,0,0,2,NA,0,0,3,NA,2,2
cell_322,NA,4,0,0,2,NA,0,0,NA,NA,2,2
cell_323,2,4,0,10,2,0,2,NA,3,4,2,2
cell_324,NA,4,0,NA,2,0,2,NA,NA,4,NA,2
cell_325,2,4,NA,0,2,NA,5,4,3,4,2,2
cell_326,2,NA,2,2,2,0,5,NA,3,4,2,2
cell_327,NA,4,NA,NA,NA,NA,0,0,NA,4,2,NA
cell_328,2,4,0,0,NA,0,0,0,3,4,NA,2
cell_329,2,4,31,0,2,2,0,NA,NA,4,NA,2
cell_330,NA,4,0,0,2,2,NA,0,NA,4,2,NA
cell_331,2,NA,0,3,2,2,3,NA,3,4,2,2
cell_332,NA,4,NA,NA,2,2,NA,0,3,NA,2,2
cell_333,2,4,NA,NA,2,2,3,0,3,4,NA,NA
cell_334,NA,4,NA,NA,2,NA,NA,NA,NA,NA,2,2
cell_335,NA,4,4,NA,2,2,2,0,3,4,NA,2
cell_336,NA,4,4,NA,NA,NA,0,NA,3,4,2,2
cell_337,11,NA,2,5,2,35,NA,2,3,NA,2,2
cell_338,NA,4,0,NA,2,35,NA,NA,3,NA,2,2
cell_339,NA,NA,NA,NA,NA,NA,29,2,NA,3,2,2
cell_340,0,4,10,NA,2,35,29,2,3,3,2,NA
cell_341,NA,4,26,0,2,35,NA,2,3,NA,2,2
cell_342,4,4,26,NA,2,35,NA,2,NA,NA,2,NA
cell_343,0,4,0,2,NA,NA,29,2,3,NA,NA,2
cell_344,NA,NA,NA,NA,NA,35,NA,2,3,0,NA,2
