cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_232	2	2	2	0	2	-	2	-	-	3	5	-
cell_233	-	-	2	0	2	15	2	3	2	-	5	5
cell_234	2	2	-	0	-	0	2	3	2	-	5	5
cell_235	2	2	2	0	2	0	2	3	-	3	5	-
cell_236	2	2	2	5	2	-	2	3	-	3	5	5
cell_237	-	2	2	0	2	0	2	3	2	3	5	5
cell_238	2	2	2	0	2	0	2	-	2	3	5	5
cell_239	2	-	2	-	2	0	2	3	-	3	-	5
cell_240	2	-	2	5	2	3	-	3	2	3	-	-
cell_241	2	2	-	2	0	-	2	3	2	-	5	5
cell_242	-	-	2	-	0	6	2	3	2	3	5	5
cell_243	2	2	2	2	49	-	2	3	-	3	5	5
cell_244	2	2	2	-	-	6	2	3	2	-	5	-
cell_245	2	2	2	2	0	-	2	3	-	3	5	-
cell_246	2	-	-	2	-	0	2	3	-	3	5	-
cell_247	2	2	-	-	0	5	2	3	-	3	5	5
cell_248	-	2	2	11	0	5	2	3	-	-	5	-
cell_249	2	-	2	2	0	0	2	3	2	3	-	5
cell_250	2	2	-	2	0	0	-	3	2	-	-	-
cell_251	2	-	-	-	3	2	2	3	2	3	-	5
cell_252	2	2	2	2	3	5	2	3	2	3	5	5
cell_253	-	2	2	3	-	0	2	3	2	3	5	5
cell_254	2	2	-	3	0	-	2	3	2	3	5	5
cell_255	2	-	-	2	3	0	2	3	2	3	-	5
cell_256	2	2	2	2	-	0	2	-	2	-	5	5
cell_257	5	2	2	-	2	0	-	3	3	3	5	3
cell_258	5	2	2	4	2	0	-	3	3	3	5	3
cell_259	0	2	2	4	2	2	3	-	-	3	-	3
cell_260	-	2	2	4	2	2	3	-	-	3	-	3
cell_261	0	2	-	4	2	2	3	3	3	3	-	3
cell_262	0	2	2	4	2	-	3	3	3	3	5	3
cell_263	0	2	-	4	2	-	-	3	-	-	5	3
cell_264	0	2	-	4	2	2	3	-	3	3	5	-
cell_265	2	2	2	-	2	-	-	3	3	-	5	3
cell_266	2	-	2	-	2	2	-	3	3	3	-	3
cell_267	0	2	2	4	2	-	3	3	-	3	-	3
cell_268	-	2	2	4	-	2	3	3	-	-	5	3
cell_269	3	2	2	-	-	2	3	3	3	-	5	-
cell_270	0	2	2	4	2	2	3	3	3	3	5	3
cell_271	0	2	2	4	2	2	3	3	3	3	5	3
cell_272	2	2	2	4	2	2	3	3	3	-	5	3
cell_273	12	-	2	4	2	2	3	-	3	3	5	3
cell_274	-	-	2	-	2	2	3	-	-	-	5	-
cell_275	12	-	2	4	2	2	3	3	3	3	5	3
cell_276	-	2	2	4	2	2	3	3	3	3	5	-
cell_277	12	2	2	4	-	2	3	3	3	3	5	3
cell_278	-	-	2	4	2	2	3	-	3	-	5	3
cell_279	12	2	2	4	2	2	3	3	-	-	5	3
cell_280	-	2	2	4	2	2	-	3	3	3	-	3
cell_281	12	2	2	4	-	2	3	3	3	-	-	3
cell_282	12	-	2	4	2	2	3	3	3	3	5	3
cell_283	12	2	2	4	2	2	3	-	3	3	-	3
cell_284	12	2	2	4	2	2	-	3	3	3	5	3
cell_285	12	-	-	-	2	2	3	-	-	3	-	3
cell_286	12	2	2	4	-	2	3	3	3	3	-	3
cell_287	12	-	2	4	2	2	3	3	3	3	-	3
cell_288	12	2	2	4	2	2	3	3	3	-	-	3
cell_289	5	2	-	4	2	-	2	-	3	3	5	-
cell_290	5	2	2	-	2	2	2	-	3	3	-	3
cell_291	5	-	2	-	-	2	2	3	3	3	5	3
cell_292	5	-	2	4	2	-	2	3	3	3	5	3
cell_293	5	2	2	4	2	0	5	3	3	3	5	3
cell_294	5	2	-	4	-	0	5	3	3	3	5	3
cell_295	5	2	2	4	2	-	5	3	3	3	5	3
cell_296	5	2	2	4	2	-	5	3	3	3	5	3
cell_297	5	-	2	4	2	-	2	3	0	3	5	3
cell_298	5	2	2	4	2	0	2	3	0	3	5	3
cell_299	5	2	2	4	2	-	2	3	2	3	-	-
cell_300	5	2	2	4	2	8	2	3	2	3	-	3
cell_301	5	2	2	4	2	0	2	3	0	3	5	-
cell_302	5	2	-	4	2	0	2	3	0	3	5	3
cell_303	5	2	2	4	2	0	2	3	5	-	5	3
cell_304	5	2	-	-	2	0	2	-	0	-	5	3
cell_305	2	2	2	4	2	0	0	3	0	3	5	3
cell_306	2	2	2	4	-	0	0	3	0	3	5	3
cell_307	-	2	-	-	2	0	2	3	5	3	5	3
cell_308	-	2	2	4	2	3	-	3	2	3	5	-
cell_309	2	2	-	4	-	8	-	3	-	3	5	3
cell_310	2	-	2	4	2	8	3	3	0	3	5	-
cell_311	-	2	-	4	2	8	3	-	-	3	5	3
cell_312	2	2	2	4	2	8	3	3	0	3	5	3
cell_313	0	2	-	-	2	0	3	-	0	-	5	3
cell_314	-	2	-	4	-	0	-	3	-	-	5	3
cell_315	0	2	2	4	2	0	-	3	2	3	5	3
cell_316	2	2	2	4	2	0	3	3	0	3	-	3
cell_317	3	2	2	4	2	0	-	-	0	3	5	-
cell_318	3	2	-	4	-	0	3	3	0	-	-	3
cell_319	-	2	2	4	2	0	0	3	0	3	-	3
cell_320	2	2	2	-	2	0	2	3	-	3	-	3
cell_321	0	-	2	-	2	3	-	3	42	3	5	3
cell_322	2	2	2	-	2	3	3	3	42	3	5	3
cell_323	0	2	2	4	2	3	3	-	42	3	5	3
cell_324	0	2	-	4	2	-	3	-	42	3	5	3
cell_325	0	-	2	4	2	-	-	-	42	3	-	-
cell_326	0	2	2	4	2	2	3	-	42	3	5	-
cell_327	2	2	2	-	-	-	3	3	42	3	5	3
cell_328	2	2	2	4	-	3	3	-	42	3	5	3
cell_329	2	2	-	-	2	2	-	3	42	3	5	-
