cell_id	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
cell_368	3	2	2	-	-	-	-	-	-	-	-	2
cell_369	3	2	2	0	-	-	-	-	-	-	-	0
cell_370	3	2	2	2	-	-	-	-	-	-	-	0
cell_371	3	2	2	0	-	-	-	-	-	-	-	2
cell_372	3	2	2	12	-	-	-	-	-	-	-	2
cell_373	3	2	2	-	-	-	-	-	-	-	-	2
cell_374	3	-	-	0	-	-	-	-	-	-	-	11
cell_375	3	2	-	2	-	-	-	-	-	-	-	0
cell_376	-	2	2	2	-	-	-	-	-	-	-	0
cell_377	3	2	-	3	-	-	-	-	-	-	-	3
cell_378	3	2	2	3	-	-	-	-	-	-	-	3
cell_379	3	2	2	-	-	-	-	-	-	-	-	-
cell_380	3	-	2	3	-	-	-	-	-	-	-	0
cell_381	-	2	2	3	-	-	-	-	-	-	-	0
cell_382	3	2	-	-	-	-	-	-	-	-	-	0
cell_383	-	2	2	3	-	-	-	-	-	-	-	-
cell_384	3	2	2	3	-	-	-	-	-	-	-	0
cell_385	4	5	2	2	-	-	-	-	-	-	-	2
cell_386	4	5	2	2	-	-	-	-	-	-	-	-
cell_387	4	5	2	2	-	-	-	-	-	-	-	2
cell_388	4	5	2	2	-	-	-	-	-	-	-	2
cell_389	4	-	-	2	-	-	-	-	-	-	-	2
cell_390	4	5	0	2	-	-	-	-	-	-	-	2
cell_391	4	5	-	2	-	-	-	-	-	-	-	2
cell_392	4	-	-	2	-	-	-	-	-	-	-	2
cell_393	4	5	0	2	-	-	-	-	-	-	-	-
cell_394	4	5	0	-	-	-	-	-	-	-	-	3
cell_395	4	5	37	-	-	-	-	-	-	-	-	3
cell_396	4	5	-	2	-	-	-	-	-	-	-	3
cell_397	4	5	2	2	-	-	-	-	-	-	-	-
cell_398	4	5	2	2	-	-	-	-	-	-	-	3
cell_399	4	5	2	2	-	-	-	-	-	-	-	3
cell_400	4	5	2	2	-	-	-	-	-	-	-	3
cell_401	4	5	11	2	-	-	-	-	-	-	-	0
cell_402	4	5	-	2	-	-	-	-	-	-	-	0
cell_403	4	5	0	2	-	-	-	-	-	-	-	0
cell_404	-	-	-	2	-	-	-	-	-	-	-	-
cell_405	4	5	-	2	-	-	-	-	-	-	-	0
cell_406	-	5	0	2	-	-	-	-	-	-	-	0
cell_407	4	5	-	2	-	-	-	-	-	-	-	0
cell_408	4	5	7	2	-	-	-	-	-	-	-	0
cell_409	4	5	2	-	-	-	-	-	-	-	-	3
cell_410	4	5	2	2	-	-	-	-	-	-	-	0
cell_411	4	5	-	2	-	-	-	-	-	-	-	0
cell_412	4	5	0	2	-	-	-	-	-	-	-	-
cell_413	4	5	2	2	-	-	-	-	-	-	-	2
cell_414	4	5	2	2	-	-	-	-	-	-	-	2
cell_415	-	5	2	2	-	-	-	-	-	-	-	2
cell_416	4	5	2	2	-	-	-	-	-	-	-	2
cell_417	4	5	2	2	-	-	-	-	-	-	-	2
cell_418	4	-	2	2	-	-	-	-	-	-	-	2
cell_419	4	5	2	-	-	-	-	-	-	-	-	2
cell_420	4	5	-	2	-	-	-	-	-	-	-	-
cell_421	-	5	2	2	-	-	-	-	-	-	-	2
cell_422	4	5	2	2	-	-	-	-	-	-	-	-
cell_423	4	5	2	2	-	-	-	-	-	-	-	2
cell_424	-	5	2	2	-	-	-	-	-	-	-	2
cell_425	4	5	2	-	-	-	-	-	-	-	-	2
cell_426	4	5	2	2	-	-	-	-	-	-	-	2
cell_427	4	-	2	-	-	-	-	-	-	-	-	2
cell_428	-	5	-	2	-	-	-	-	-	-	-	-
cell_429	-	5	2	2	-	-	-	-	-	-	-	2
cell_430	-	5	-	-	-	-	-	-	-	-	-	-
cell_431	4	5	2	-	-	-	-	-	-	-	-	2
cell_432	4	5	2	2	-	-	-	-	-	-	-	2
cell_433	4	5	2	2	-	-	-	-	-	-	-	2
cell_434	-	5	2	-	-	-	-	-	-	-	-	2
cell_435	-	5	2	-	-	-	-	-	-	-	-	2
cell_436	-	5	2	2	-	-	-	-	-	-	-	2
cell_437	4	-	-	-	-	-	-	-	-	-	-	2
