,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_400,5,13,2,NA,NA,2,5,NA,NA,3,2,5
cell_401,0,3,0,3,2,2,2,NA,2,5,2,3
cell_402,0,3,2,3,2,2,2,5,NA,5,NA,3
cell_403,0,3,NA,NA,0,2,0,NA,2,5,NA,3
cell_404,0,3,NA,NA,0,NA,0,NA,2,5,2,3
cell_405,NA,3,0,3,5,2,2,5,2,NA,NA,3
cell_406,0,NA,2,3,NA,2,0,NA,2,5,2,3
cell_407,0,3,NA,3,0,2,NA,5,2,5,2,3
cell_408,NA,3,0,3,NA,2,3,5,NA,5,2,3
cell_409,5,NA,0,3,2,2,4,5,2,2,2,0
cell_410,5,5,2,3,2,2,4,NA,2,2,2,NA
cell_411,NA,NA,2,3,NA,2,4,5,2,2,2,0
cell_412,5,0,0,3,2,2,4,5,2,2,2,0
cell_413,5,NA,NA,3,5,2,0,5,2,0,2,5
cell_414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
cell_415,5,4,0,3,NA,NA,0,5,2,0,NA,2
cell_416,5,NA,0,3,2,2,0,5,NA,0,2,0
cell_417,NA,5,0,3,NA,NA,4,5,2,0,2,3
cell_418,2,5,NA,NA,2,2,4,NA,2,0,2,0
cell_419,2,5,0,3,2,NA,4,5,2,NA,2,NA
cell_420,2,5,0,3,2,NA,4,5,2,0,2,0
cell_421,2,5,NA,3,2,2,2,5,2,0,2,0
cell_422,2,NA,0,3,2,2,0,5,2,3,2,0
cell_423,2,5,0,NA,2,2,2,5,2,NA,NA,NA
cell_424,2,NA,0,3,2,2,2,5,2,4,2,2
cell_425,0,5,0,3,2,2,NA,5,2,2,2,0
cell_426,0,5,0,NA,2,2,NA,5,2,NA,2,2
cell_427,0,NA,0,3,NA,2,2,5,2,2,2,0
cell_428,0,5,2,3,2,2,2,5,2,NA,2,0
cell_429,NA,5,0,3,2,2,2,5,2,2,2,5
cell_430,0,5,0,3,NA,2,2,5,2,NA,2,NA
cell_431,0,5,0,NA,2,NA,2,5,2,2,2,0
cell_432,0,5,NA,3,2,2,2,5,2,2,2,0
cell_433,NA,5,3,3,2,2,12,5,2,NA,2,2
cell_434,3,5,NA,3,2,2,NA,5,NA,10,2,2
cell_435,0,5,0,3,2,2,0,5,2,10,2,2
cell_436,NA,5,0,3,2,2,0,NA,2,NA,NA,NA
cell_437,NA,5,0,NA,2,NA,0,5,2,10,2,2
cell_438,0,NA,NA,3,2,2,0,5,2,10,2,2
cell_439,NA,5,2,3,2,2,0,5,2,10,2,2
cell_440,0,NA,NA,3,NA,2,0,5,2,NA,2,2
