cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_456,0,10,27,-,5,0,4,-,2,5,2,2
cell_457,2,10,-,2,5,0,-,0,0,-,2,2
cell_458,2,-,27,2,5,0,4,0,0,2,2,2
cell_459,-,-,27,2,5,0,4,21,-,2,2,2
cell_460,2,-,-,2,5,0,4,0,2,2,-,2
cell_461,2,10,27,-,5,0,4,-,0,0,2,2
cell_462,-,10,-,-,5,0,-,0,-,0,2,2
cell_463,2,10,27,2,5,0,-,2,0,-,-,2
cell_464,2,-,-,2,5,0,4,0,0,2,2,-
cell_465,-,10,-,-,-,2,-,0,10,5,2,0
cell_466,0,-,27,-,-,-,4,0,10,0,2,2
cell_467,0,10,-,2,5,2,4,0,10,6,2,0
cell_468,4,10,27,2,5,-,4,0,10,6,-,0
cell_469,-,-,27,2,5,2,4,-,10,0,2,-
cell_470,0,10,27,2,5,2,4,0,10,3,2,0
cell_471,-,10,27,2,5,2,-,-,10,2,2,0
cell_472,0,10,27,2,5,-,4,0,10,2,2,0
cell_473,-,10,-,-,5,-,4,0,-,-,2,0
cell_474,0,10,-,-,5,4,4,0,10,-,2,3
cell_475,0,10,-,2,-,-,4,0,10,-,2,-
