,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
cell_313,0,8,4,5,0,0,0,2,0,0,21,0
cell_314,0,8,4,5,0,0,0,2,0,0,21,0
cell_315,0,8,4,5,0,0,0,0,0,0,21,0
cell_316,0,8,4,5,3,0,2,0,0,0,21,0
cell_317,0,8,4,5,0,0,0,2,0,0,21,11
cell_318,0,8,4,5,0,0,0,0,0,0,21,11
cell_319,0,8,4,5,0,0,0,0,0,4,21,11
cell_320,0,8,4,5,0,0,0,0,0,4,21,11
cell_321,0,0,0,0,0,0,0,0,8,0,0,0
cell_322,0,0,0,0,0,0,0,0,8,0,0,0
cell_323,0,0,0,0,0,0,0,0,8,0,0,0
cell_324,0,0,0,0,0,0,0,0,8,0,0,0
cell_325,0,0,0,0,0,0,2,0,8,0,0,0
cell_326,0,0,0,0,0,0,4,0,8,0,0,0
cell_327,0,0,0,0,5,0,0,0,8,0,0,2
cell_328,0,0,0,0,0,0,0,0,8,0,0,0
cell_329,0,0,0,2,0,0,2,0,8,0,4,0
cell_330,0,0,0,0,0,0,0,0,8,0,0,0
cell_331,0,0,0,0,0,0,0,0,8,0,0,0
cell_332,0,0,0,0,0,0,0,0,8,0,0,0
cell_333,0,2,0,0,0,0,0,0,8,0,0,2
cell_334,0,2,0,0,0,0,0,0,8,0,0,2
cell_335,0,0,5,0,0,0,0,0,8,0,0,0
cell_336,5,0,0,0,0,2,2,0,8,0,0,0
cell_337,0,0,0,0,0,0,0,0,2,0,0,0
cell_338,0,0,0,0,0,0,0,0,0,0,0,0
cell_339,0,0,0,0,0,0,0,0,0,0,0,0
cell_340,0,0,0,0,0,0,0,0,0,0,0,0
cell_341,0,0,0,0,0,0,0,0,2,3,0,0
cell_342,0,0,0,0,0,0,0,0,2,0,0,0
cell_343,0,2,0,0,2,0,0,0,2,0,0,0
cell_344,0,2,0,0,2,0,0,0,2,0,0,0
cell_345,3,0,0,0,0,8,0,0,0,0,5,0
cell_346,3,0,0,0,0,8,0,0,0,0,5,0
cell_347,3,0,2,0,0,0,5,0,0,0,5,0
cell_348,3,0,2,0,0,0,5,0,0,0,5,0
cell_349,3,5,0,0,0,0,2,0,2,0,0,0
cell_350,3,5,0,0,0,0,0,0,2,0,0,0
cell_351,3,0,0,0,0,0,0,0,0,0,0,0
cell_352,3,0,0,0,0,0,0,0,0,0,0,0
cell_353,0,0,0,0,0,0,0,0,2,0,0,5
cell_354,0,0,0,0,0,0,0,0,2,0,0,5
cell_355,2,0,0,0,0,0,0,0,0,4,0,5
cell_356,2,0,3,0,0,0,0,0,0,0,0,5
cell_357,2,3,0,0,5,3,2,0,0,0,0,0
cell_358,0,3,0,0,5,3,2,0,0,0,0,0
cell_359,0,3,2,0,0,3,0,0,0,2,0,0
cell_360,0,3,0,0,0,3,0,0,0,2,0,0
cell_361,0,0,0,0,0,2,0,0,0,0,0,0
cell_362,0,0,0,0,0,0,0,0,0,0,0,0
cell_363,4,0,0,0,2,0,0,2,0,0,0,0
cell_364,0,0,2,0,2,0,0,0,0,0,0,0
cell_365,0,0,5,2,0,2,5,0,2,0,0,0
cell_366,0,0,5,2,0,2,5,0,2,0,0,0
cell_367,0,0,5,2,0,0,0,0,0,0,0,0
cell_368,0,0,5,2,2,0,0,0,0,0,0,0
cell_369,5,0,0,0,0,0,2,0,3,0,0,0
cell_370,5,0,0,0,0,0,0,0,3,0,0,0
cell_371,5,0,0,0,0,0,2,2,0,0,0,0
cell_372,5,0,0,0,0,0,2,2,0,0,0,0
cell_373,5,0,0,0,0,0,0,0,0,0,3,0
cell_374,5,0,0,2,0,0,0,0,0,0,3,0
cell_375,5,0,0,0,0,0,0,0,0,0,3,0
cell_376,5,0,0,0,0,0,0,0,0,0,3,0
cell_377,5,0,0,0,0,0,0,0,0,0,0,0
cell_378,5,5,0,0,0,0,0,0,0,0,0,0
cell_379,5,0,0,0,0,0,0,0,0,0,0,0
cell_380,5,0,0,0,0,2,0,0,0,0,0,0
cell_381,5,0,0,0,0,0,0,0,0,0,0,5
cell_382,5,0,0,0,0,0,2,0,0,0,0,5
cell_383,5,0,2,0,0,2,0,0,0,0,0,5
cell_384,5,0,0,0,0,2,0,2,0,0,0,5
cell_385,0,0,0,0,2,0,73,0,0,0,2,2
cell_386,0,0,0,0,2,0,73,0,0,0,2,2
cell_387,0,0,0,0,2,0,73,0,0,0,2,2
cell_388,0,0,0,0,2,0,73,0,0,0,2,2
cell_389,0,0,0,0,2,0,73,2,0,0,2,0
cell_390,0,0,0,0,2,0,73,2,0,4,2,0
cell_391,0,0,0,0,2,0,73,2,0,0,2,0
cell_392,0,0,0,0,2,0,73,2,0,0,2,0
cell_393,0,0,6,3,2,0,73,0,0,0,2,0
cell_394,0,0,6,3,2,0,73,0,0,2,2,0
cell_395,0,0,6,3,2,0,73,0,3,0,2,0
cell_396,0,0,6,3,2,0,73,0,0,0,2,0
cell_397,0,0,0,3,2,0,73,2,0,12,2,0
cell_398,0,0,0,3,2,4,73,2,0,0,2,0
cell_399,0,0,0,3,2,0,73,13,0,0,2,0
cell_400,0,0,0,3,2,0,73,13,0,2,2,0
cell_401,0,0,0,0,2,2,0,0,0,0,2,0
cell_402,0,0,0,0,2,2,5,0,0,0,2,0
cell_403,0,0,0,0,2,2,0,0,0,0,2,0
cell_404,0,0,0,0,2,2,0,0,0,0,2,0
